HIP,MH,eMH,Teff,eTeff,logg_x,elogg,L,eL,label,#Id,age,age_68L,age_68U,mass,mass_68L,mass_68U,logg_y,logg_68L,logg_68U,rad,rad_68L,rad_68U,logrho,logrho_68L,logrho_68U,logg_spec,logg
50786,0.356,0.066,6408,92,4.122,0.179,6.1936126944,0.2366234687,host,50786,1.3923,1.1757,1.5961,1.6129,1.5856,1.6407,4.0322,4.0029,4.062,1.984,1.918,2.0525,-0.7041,-0.7477,-0.66,4.122,4.0322
52686,0.154,0.041,4634,74,2.71,0.197,25.7494975014,1.0350931742,field,52686,5.8438,3.5948,10.1063,1.2416,1.0681,1.4233,2.7242,2.6294,2.8079,7.8556,7.5761,8.1615,-2.6096,-2.7194,-2.5122,2.71,2.7242
56510,-0.129,0.03,4810,39,2.523,0.093,114.311259019,19.6735599149,field,56510,0.896,0.5428,1.9245,2.1742,1.6259,2.54,2.4634,2.4148,2.5126,13.7653,12.1739,15.3515,-3.1114,-3.1932,-3.0306,2.523,2.4634
56583,-0.214,0.029,4939,34,2.679,0.072,46.7432174352,1.9332854811,field,56583,1.1222,1.0597,1.1982,1.8945,1.8144,1.9389,2.7622,2.7285,2.7903,9.2708,9.0509,9.4958,-2.6442,-2.6871,-2.6065,2.679,2.7622
57757,0.268,0.026,6268,36,4.127,0.137,3.4552699579,0.1027906847,field,57757,1.8645,1.6554,2.0614,1.388,1.3745,1.4015,4.1781,4.1627,4.1943,1.5561,1.5265,1.5862,-0.4527,-0.476,-0.4288,4.127,4.1781
58110,0.053,0.028,5050,36,3.225,0.092,16.4192732768,0.7202913259,field,58110,1.2832,1.1714,1.4382,1.8727,1.7967,1.9379,3.2493,3.2187,3.2778,5.2639,5.1328,5.3994,-1.9111,-1.9509,-1.8727,3.225,3.2493
58952,-0.285,0.031,4766,43,2.549,0.102,53.0956759334,3.0121520583,host,58952,6.4172,2.4752,10.7178,1.0598,0.9241,1.4377,2.3885,2.3546,2.5328,10.5268,10.2715,10.7871,-3.077,-3.1035,-2.928,2.549,2.3885
59316,-0.009,0.051,4436,103,1.831,0.27,835.142409551,35.7713586327,field,59316,0.1578,0.1227,0.2032,4.1289,3.7237,4.6034,1.6605,1.5865,1.7481,48.6503,46.273,50.7674,-4.4657,-4.5561,-4.3575,1.831,1.6605
59501,-0.053,0.035,5004,41,2.747,0.103,99.009946601,7.552469385,field,59501,0.4677,0.3894,0.5679,2.814,2.6638,2.9313,2.6484,2.6154,2.6793,12.8733,12.3847,13.3812,-2.9004,-2.9474,-2.8547,2.747,2.6484
60202,-0.265,0.031,4830,36,2.487,0.081,114.010226028,5.5755028851,field,60202,0.6543,0.5459,0.9633,2.2543,2.0887,2.406,2.4234,2.3839,2.4597,14.9266,14.5201,15.3467,-3.1898,-3.2373,-3.1456,2.487,2.4234
61740,0.15,0.066,4487,128,2.072,0.304,151.733628016,9.0878963852,host,61740,1.362,0.9562,2.6184,1.9878,1.564,2.3175,2.0903,1.9398,2.1958,20.7119,19.5535,22.0252,-3.6641,-3.8393,-3.5376,2.072,2.0903
64078,0.097,0.035,4706,57,2.552,0.177,92.4893286515,4.4193912544,field,64078,0.8792,0.6476,1.2656,2.255,2.0202,2.5266,2.4637,2.3971,2.5365,14.2564,13.7124,14.7581,-3.13,-3.2077,-3.0423,2.552,2.4637
64408,0.218,0.02,5745,27,4.024,0.082,4.14025628,0.1312924091,host,64408,4.6724,4.5089,4.8297,1.2839,1.2702,1.2985,3.9188,3.9061,3.9317,2.0174,1.9803,2.0555,-0.8246,-0.845,-0.8045,4.024,3.9188
66903,0.068,0.034,4891,44,2.676,0.115,47.2830342243,2.6740946796,host,66903,1.1698,1.0487,1.2775,2.0251,1.9434,2.1406,2.7684,2.7253,2.8131,9.5554,9.2578,9.8646,-2.6504,-2.7064,-2.5929,2.676,2.7684
67927,0.189,0.136,6319,207,4.907,0.203,8.5648900913,0.2906142749,field,67927,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,4.907,-99.9
68895,-0.046,0.031,4634,54,2.564,0.132,59.9027237736,1.8560446909,field,68895,3.1414,2.1465,6.3704,1.4119,1.1304,1.5818,2.4367,2.3404,2.5009,11.6003,11.0748,11.9951,-3.0683,-3.1654,-2.991,2.564,2.4367
70012,-0.058,0.032,4867,42,2.646,0.104,61.7489533001,3.5653740686,field,70012,1.6024,1.3427,2.0134,1.7472,1.6108,1.8962,2.5912,2.5386,2.6455,10.8822,10.5556,11.1125,-2.8843,-2.9454,-2.8188,2.646,2.5912
70027,0.261,0.055,4618,101,2.57,0.243,47.9674065035,1.8567767639,field,70027,6.9168,1.9233,10.11,1.1825,1.0486,1.7441,2.4042,2.3615,2.5842,11.0091,10.6575,11.2406,-3.077,-3.1186,-2.8933,2.57,2.4042
70987,-0.058,0.036,4812,47,2.497,0.112,42.2380132464,4.2651994214,field,70987,7.1707,1.8849,12.499,1.0764,0.9224,1.6294,2.3943,2.3629,2.6614,10.3704,9.7047,10.8131,-3.072,-3.0911,-2.7631,2.497,2.3943
71837,-0.133,0.029,5038,34,2.834,0.074,93.7337220552,8.1270607117,field,71837,0.4894,0.4131,0.6174,2.6954,2.5406,2.8128,2.6886,2.6563,2.7194,12.0209,11.5355,12.5201,-2.8304,-2.8775,-2.7839,2.834,2.6886
72125,0.06,0.038,5096,48,3.069,0.094,79.9456308557,3.6993249399,field,72125,0.3443,0.3328,0.3578,3.0308,2.9788,3.0779,2.812,2.7919,2.8333,11.0653,10.7754,11.3442,-2.672,-2.6995,-2.6386,3.069,2.812
72607,-0.274,0.046,4188,113,1.55,0.362,420.262755129,12.9853962974,host,72607,2.8341,1.5247,5.8021,1.3897,1.1088,1.6864,1.3834,1.2492,1.5018,38.8596,37.1726,40.6827,-4.645,-4.7977,-4.5088,1.55,1.3834
72631,-0.32,0.031,4838,38,2.549,0.106,53.1848128768,3.2512003595,field,72631,8.3122,4.1317,11.6854,0.9739,0.901,1.212,2.3701,2.3538,2.4378,10.4324,10.181,10.704,-3.0828,-3.1008,-3.0332,2.549,2.3701
73133,-0.066,0.062,4182,126,1.764,0.401,321.636803499,40.1134802496,field,73133,2.6306,1.3392,5.8706,1.4872,1.163,1.8558,1.5397,1.3999,1.6749,33.4865,30.8444,36.3409,-4.425,-4.5896,-4.2614,1.764,1.5397
