HIP,ra,dec,parallax,err(parallax),V,I,B-V,err(B-V),teff,lum,rad,numax,Mv,RA,Dec,V.1,Camp,HD,label,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID,Ang Sep (')
HIP4125,13.212479,-1.90083,3.39,0.89,8.65,7.812,0.978,0.022,4886.73410183,32.6007969034,7.97960558686,56.8098804989,1.30099849102,13.212479,-1.90083,8.65,8.0,5104.0,field,220149777,13.2124796,-1.900831,0,8.684,4125.0,4674-656-1,441-001137,00525099-0154030,,STAR,gri,,-18.08,0.94,-15.44,0.69,3.39,0.89,9.637,0.024,8.647,0.014,,,9.696,0.03,9.14,0.04,8.251,0.06,,,6.847,0.029,6.292,0.026,6.188,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,22.1,,0.001
HIP4180,13.345522,-0.775804,3.92,1.12,9.49,8.768,0.816,0.033,5241.40004152,9.87636712341,3.81776095506,236.994174149,2.4564303351,13.345522,-0.775804,9.49,8.0,,field,220180335,13.3455229,-0.775804,1,9.304,4180.0,4674-114-1,447-001078,00532291-0046329,,STAR,gri,plx,-8.24,1.08,-18.88,0.72,3.92,1.12,10.311,0.037,9.415,0.023,,,10.116,0.29,9.309,0.17,8.956,0.04,,,7.886,0.02,7.395,0.044,7.284,0.021,,,,,,,,,4853.0,147.0,117.0,2.923,0.35,0.49,-0.275,0.25,0.35,6.215,3.892,2.393,1.15,0.322,0.23,0.005,0.011,0.004,255.1,72.89,72.89,0.032,0.024,0.011,AAA-111-111-000-0-0,,,0.003
HIP4219,13.456058,7.271121,6.96,0.86,8.54,7.745,0.887,0.019,5075.9144159,7.94868520346,3.6519414166,249.802289842,2.75304619805,13.456058,7.271121,8.54,8.0,5180.0,field,220522361,13.4560595,7.2711201,1,8.763,4219.0,18-218-1,487-001323,00534945+0716159,,STAR,gri,plx,19.02,0.92,-126.04,0.59,6.96,0.86,9.424,0.025,8.523,0.016,,,9.82,0.03,9.145,0.04,8.31,0.06,,,6.888,0.02,6.422,0.038,6.281,0.027,,,,,,,,,5032.0,81.0,81.0,3.29,0.18,0.18,-0.472,0.35,0.25,3.808,0.623,0.464,1.046,0.477,0.124,0.02,0.011,0.01,143.7,17.75,17.75,0.022,0.015,0.006,AAA-111-111-000-0-0,,,0.001
HIP4221,13.459688,11.122502,3.78,1.02,8.65,7.834,0.948,0.025,4946.79576659,25.3626290733,6.86837358477,75.8211960755,1.53745899919,13.459688,11.122502,8.65,8.0,5179.0,field,220687322,13.4596891,11.1225033,0,8.791,4221.0,608-1109-1,506-001421,00535032+1107209,,STAR,gri,,-0.38,1.01,-16.71,0.79,3.78,1.02,9.629,0.031,8.68,0.019,,,9.737,0.03,9.394,0.04,8.386,0.06,,,6.813,0.026,6.322,0.026,6.214,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,19.5,,0.001
HIP4231,13.492597,5.809157,3.86,0.57,7.93,7.026,1.065,0.019,4721.90277529,53.5048472752,10.9488175343,30.6584804001,0.862936523359,13.492597,5.809157,7.93,8.0,5214.0,field,220456348,13.492589,5.8091521,1,8.139,4231.0,18-669-1,480-001349,00535823+0548329,,STAR,gri,plx,27.17,0.62,3.95,0.47,3.86,0.57,8.974,0.021,7.919,0.013,,,9.683,0.05,8.504,0.08,7.477,0.06,,,6.105,0.021,5.58,0.033,5.468,0.016,,,,,,,,,4621.0,92.0,92.0,2.479,0.132,0.11,0.07,0.12,0.15,11.527,1.066,0.62,1.568,0.283,0.339,0.000938,0.000387,0.0002346,259.1,38.26,38.26,0.037,0.027,0.017,AAA-111-111-000-0-0,,,0.0003958
HIP4286,13.731117,2.594827,2.96,1.9,10.8,10.071,0.574,0.072,5987.1101062,4.44721581562,1.9634251405,916.548864663,3.15645855529,13.731117,2.594827,10.8,8.0,,field,220298366,13.7311201,2.5948291,1,10.702,4286.0,15-94-1,463-001283,00545546+0235413,,STAR,gri,plx,0.37,1.61,-19.33,1.17,2.96,1.9,11.319,0.072,10.821,0.071,,,10.979,0.03,10.664,0.03,10.584,0.04,,,9.842,0.024,9.611,0.021,9.575,0.021,,,,,,,,,6370.0,153.0,128.0,4.146,0.14,0.196,-0.08,0.15,0.27,1.488,0.51,0.25,1.233,0.184,0.153,0.334,0.208,0.18,337.8,216.9,216.9,0.031,0.022,0.01,AAA-222-111-000-0-0,,,0.0003062
HIP4297,13.755834,0.789556,8.74,0.86,8.05,7.187,0.985,0.015,4872.99383708,8.58818814212,4.1187343887,192.597874808,2.75755716317,13.755834,0.789556,8.05,8.0,5319.0,host,220222356,13.7558327,0.789556,1,8.045,4297.0,12-104-1,454-001179,00550140+0047223,,STAR,gri,plx,-4.93,0.9,-49.66,0.53,8.74,0.86,9.061,0.021,8.047,0.013,,,9.088,0.48,8.327,0.39,7.597,0.2,,,6.348,0.027,5.864,0.044,5.699,0.02,,,,,,,,,4899.0,137.0,117.0,3.273,0.09,0.09,-0.134,0.18,0.45,4.184,0.404,0.506,1.232,0.178,0.25,0.016,0.007,0.004,114.4,11.26,11.26,0.021,0.02,0.007,AAA-111-111-000-0-0,,,4.87e-05
HIP4352,13.951129,4.511439,2.94,0.95,8.97,7.98,1.113,0.033,4635.32304573,37.2231198895,9.47656853331,39.3714453189,1.31173665206,13.951129,4.511439,8.97,8.0,,field,220389892,13.9511299,4.5114388,1,8.889,4352.0,15-764-1,473-001310,00554826+0430410,,STAR,gri,plx,5.16,0.87,-12.72,0.65,2.94,0.95,10.067,0.036,8.961,0.02,,,10.044,0.37,8.927,0.37,8.394,0.18,,,7.115,0.029,6.584,0.051,6.418,0.021,,,,,,,,,4719.0,142.0,142.0,2.468,0.242,0.11,-0.092,0.18,0.27,11.116,0.933,1.655,1.325,0.493,0.274,0.000962,0.001,0.0002903,340.1,109.9,109.9,0.035,0.026,0.014,AAA-111-111-000-0-0,,,0.0002939
HIP4370,14.006134,3.67161,1.94,1.37,9.88,9.315,0.608,0.059,5862.4753172,24.5804880021,4.81435300462,171.053385382,1.31900864965,14.006134,3.67161,9.88,8.0,,field,220348743,14.0061407,3.671623,0,9.692,4370.0,15-754-1,469-001299,00560147+0340177,,STAR,gri,,16.06,1.41,-25.43,0.91,1.94,1.37,10.525,0.048,9.968,0.041,,,10.197,0.03,9.795,0.04,9.476,0.06,,,8.583,0.019,8.286,0.049,8.179,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,23.4,,0.0009417
HIP4503,14.422297,8.210357,3.72,1.35,9.46,8.602,1.029,0.045,4788.67024295,13.5561938802,5.35850644478,116.482071994,2.31271469941,14.422297,8.210357,9.46,8.0,,field,220563581,14.4222984,8.2103558,1,9.267,4503.0,605-1143-1,492-001453,00574135+0812372,,STAR,BV,plx,3.4,1.5,-37.26,1.06,3.72,1.35,10.452,0.042,9.441,0.024,,,,,,,,,,,7.664,0.021,7.178,0.047,7.077,0.024,,,,,,,,,4842.0,146.0,146.0,2.665,0.406,0.29,-0.234,0.25,0.4,9.085,2.216,4.19,1.179,0.597,0.249,0.002,0.007,0.0009243,268.8,97.55,97.55,0.032,0.024,0.011,AAA-111-111-000-0-0,,,0.0004019
