HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP6509,,6367.0,316.0,263.0,4.1,0.15,0.18,-0.015,0.12,0.18,EPIC
HIP6788,8849.0,4820.0,93.0,93.0,3.17,0.11,0.132,-0.075,0.16,0.24,EPIC
HIP6815,8875.0,,,,,,,,,,EPIC
HIP7046,9212.0,,,,,,,,,,EPIC
HIP7069,9238.0,6001.0,142.0,94.0,3.752,0.072,0.04,-0.004,0.12,0.27,EPIC
HIP16109,,6075.0,243.0,243.0,3.935,0.234,0.195,-0.056,0.16,0.28,EPIC
HIP16181,21467.0,4986.0,81.0,81.0,3.485,0.195,0.195,-0.155,0.21,0.18,EPIC
HIP16374,,6326.0,210.0,263.0,4.015,0.09,0.075,-0.048,0.15,0.15,EPIC
HIP16598,,6747.0,405.0,289.0,3.829,0.1,0.2,0.063,0.1,0.1,EPIC
HIP16613,22045.0,4836.0,95.0,76.0,3.163,0.1,0.12,-0.021,0.12,0.27,EPIC
HIP16627,,6301.0,255.0,255.0,4.024,0.21,0.252,-0.025,0.12,0.18,EPIC
HIP16659,,5125.0,191.0,159.0,3.288,0.305,0.793,-0.377,0.3,0.66,EPIC
HIP16671,,6074.0,144.0,108.0,3.903,0.08,0.16,0.003,0.08,0.08,EPIC
HIP16828,22339.0,,,,,,,,,,EPIC
HIP16950,,5505.0,166.0,133.0,3.791,0.075,0.09,-0.221,0.24,0.36,EPIC
HIP17049,22682.0,,,,,,,,,,EPIC
HIP17058,22695.0,,,,,,,,,,EPIC
HIP17065,,6865.0,342.0,285.0,4.148,0.11,0.22,0.007,0.12,0.12,EPIC
HIP17281,,6269.0,153.0,346.0,3.719,0.135,0.075,-0.002,0.16,0.08,EPIC
HIP17282,,6526.0,468.0,156.0,3.654,0.042,0.02,0.048,0.05,0.18,EPIC
HIP17340,23041.0,6359.0,244.0,195.0,3.754,0.088,0.066,0.027,0.12,0.1,EPIC
HIP17408,23183.0,4927.0,79.0,79.0,2.857,0.085,0.221,-0.256,0.2,0.36,EPIC
HIP17503,23313.0,7253.0,336.0,280.0,3.825,0.18,0.15,0.011,0.1,0.1,EPIC
HIP17557,,6458.0,266.0,266.0,3.93,0.21,0.252,0.028,0.1,0.12,EPIC
HIP17614,,6944.0,373.0,373.0,3.853,0.246,0.205,0.007,0.12,0.12,EPIC
HIP17726,23701.0,4777.0,148.0,148.0,2.506,0.234,0.13,-0.076,0.15,0.27,EPIC
HIP17740,,6752.0,402.0,287.0,3.696,0.13,0.13,0.018,0.1,0.12,EPIC
HIP17836,23865.0,6145.0,278.0,334.0,3.79,0.186,0.248,0.004,0.12,0.33,EPIC
HIP17864,,,,,,,,,,,EPIC
HIP18025,,4856.0,149.0,149.0,2.425,0.297,0.135,-0.529,0.4,0.48,EPIC
HIP18059,24154.0,4848.0,77.0,58.0,2.789,0.08,0.352,-0.006,0.08,0.28,EPIC
HIP18158,24345.0,5272.0,107.0,150.0,2.451,0.04,0.064,-0.999,0.24,0.15,EPIC
HIP18326,24571.0,,,,,,,,,,EPIC
HIP18335,24621.0,,,,,,,,,,EPIC
HIP18354,24620.0,4800.0,57.0,115.0,2.675,0.054,0.18,0.146,0.06,0.1,EPIC
HIP18405,24680.0,4926.0,78.0,59.0,2.825,0.14,0.336,-0.429,0.36,0.3,EPIC
HIP18409,24691.0,,,,,,,,,,EPIC
