HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP54451,96710.0,4713.0,141.0,113.0,2.483,0.22,0.12,-0.061,0.16,0.2,EPIC
HIP54464,96742.0,,,,,,,,,,EPIC
HIP54502,,,,,,,,,,,EPIC
HIP54565,96956.0,,,,,,,,,,EPIC
HIP54656,97197.0,4654.0,74.0,56.0,2.814,0.128,0.192,-0.034,0.12,0.18,EPIC
HIP54788,97459.0,,,,,,,,,,EPIC
HIP54802,97491.0,4851.0,95.0,95.0,3.058,0.1,0.14,-0.22,0.25,0.3,EPIC
HIP54904,97698.0,,,,,,,,,,EPIC
HIP54910,97716.0,4719.0,76.0,76.0,2.562,0.155,0.155,0.003,0.15,0.12,EPIC
HIP54961,97815.0,4545.0,71.0,53.0,2.43,0.169,0.078,0.104,0.12,0.12,EPIC
HIP54994,97892.0,,,,,,,,,,EPIC
HIP55158,98156.0,,,,,,,,,,EPIC
HIP55211,,6084.0,242.0,194.0,4.005,0.228,0.19,-0.027,0.15,0.21,EPIC
HIP55288,98427.0,6495.0,309.0,258.0,4.25,0.05,0.09,-0.002,0.15,0.15,EPIC
HIP55408,98603.0,,,,,,,,,,EPIC
HIP55609,99005.0,4641.0,109.0,109.0,2.581,0.273,0.195,0.009,0.16,0.2,EPIC
HIP55699,99166.0,,,,,,,,,,EPIC
HIP55703,99179.0,,,,,,,,,,EPIC
HIP55852,,5118.0,124.0,124.0,2.483,1.02,0.102,-0.787,0.3,0.3,EPIC
HIP55907,99596.0,4877.0,57.0,96.0,2.812,0.09,0.378,-0.111,0.12,0.54,EPIC
HIP56029,99798.0,,,,,,,,,,EPIC
HIP56073,99905.0,,,,,,,,,,EPIC
HIP56482,100629.0,,,,,,,,,,EPIC
HIP56574,100776.0,,,,,,,,,,EPIC
HIP56647,100920.0,,,,,,,,,,EPIC
HIP56668,100948.0,,,,,,,,,,EPIC
HIP56747,101092.0,,,,,,,,,,EPIC
HIP56812,,,,,,,,,,,EPIC
HIP56848,101281.0,4911.0,59.0,59.0,3.005,0.21,0.147,-0.476,0.28,0.2,EPIC
HIP57317,102106.0,4697.0,111.0,111.0,2.474,0.242,0.11,-0.071,0.16,0.24,EPIC
HIP57467,102329.0,4763.0,113.0,84.0,2.814,0.14,0.252,-0.096,0.2,0.36,EPIC
HIP57530,,,,,,,,,,,EPIC
HIP57536,102444.0,5052.0,443.0,100.0,3.488,0.145,0.145,-0.197,0.25,0.4,EPIC
HIP57676,102732.0,6083.0,195.0,244.0,3.982,0.096,0.08,-0.067,0.12,0.21,EPIC
HIP57769,102898.0,,,,,,,,,,EPIC
HIP57782,,4784.0,97.0,97.0,2.527,0.62,0.186,-0.26,0.2,0.28,EPIC
HIP57902,103129.0,5156.0,154.0,154.0,2.474,0.806,0.065,-0.837,0.36,0.3,EPIC
HIP57983,,4845.0,220.0,157.0,2.437,0.4,0.096,-0.401,0.35,0.49,EPIC
HIP58021,103341.0,,,,,,,,,,EPIC
HIP58096,103476.0,,,,,,,,,,EPIC
HIP58191,103631.0,6549.0,397.0,331.0,4.105,0.1,0.14,0.003,0.12,0.12,EPIC
HIP58403,103987.0,,,,,,,,,,EPIC
HIP58609,104368.0,5056.0,288.0,128.0,3.256,0.18,0.15,-0.335,0.3,0.72,EPIC
HIP58677,104486.0,4756.0,144.0,115.0,2.439,0.252,0.07,-0.176,0.25,0.3,EPIC
HIP58769,104677.0,4703.0,111.0,111.0,2.791,0.08,0.128,-0.064,0.2,0.2,EPIC
HIP58800,104727.0,6085.0,182.0,274.0,3.801,0.075,0.075,0.017,0.12,0.15,EPIC
HIP58829,104786.0,,,,,,,,,,EPIC
HIP58895,104884.0,4929.0,210.0,90.0,2.777,0.085,0.357,-0.098,0.15,0.66,EPIC
HIP59082,105221.0,4747.0,115.0,115.0,2.406,0.21,0.252,-0.218,0.25,0.55,EPIC
HIP59102,105264.0,4395.0,53.0,43.0,2.087,0.15,0.06,0.109,0.08,0.06,EPIC
HIP59182,105409.0,4701.0,112.0,94.0,2.501,0.125,0.125,0.047,0.12,0.15,EPIC
HIP59359,105796.0,4774.0,146.0,146.0,2.477,0.252,0.126,-0.096,0.16,0.32,EPIC
HIP59367,105811.0,4885.0,99.0,99.0,2.766,0.085,0.323,-0.047,0.15,0.42,EPIC
HIP59600,106225.0,4887.0,58.0,78.0,2.983,0.112,0.07,-0.39,0.16,0.24,EPIC
HIP59625,106270.0,6090.0,288.0,288.0,3.827,0.084,0.06,0.023,0.12,0.15,EPIC
HIP59641,106316.0,4691.0,112.0,112.0,2.456,0.144,0.08,-0.067,0.2,0.2,EPIC
HIP59732,106498.0,4743.0,145.0,145.0,2.473,0.216,0.135,-0.051,0.16,0.24,EPIC
HIP59808,106622.0,4827.0,77.0,77.0,2.848,0.105,0.168,-0.107,0.18,0.36,EPIC
HIP59848,106719.0,4706.0,76.0,76.0,2.498,0.126,0.189,-0.011,0.2,0.24,EPIC
HIP59872,106775.0,,,,,,,,,,EPIC
HIP59890,106817.0,4741.0,76.0,76.0,2.528,0.145,0.145,-0.045,0.16,0.16,EPIC
HIP60021,107036.0,4877.0,116.0,116.0,2.804,0.084,0.364,-0.041,0.12,0.48,EPIC
HIP60190,,4612.0,55.0,55.0,2.435,0.112,0.08,-0.007,0.1,0.12,EPIC
HIP60248,107474.0,,,,,,,,,,EPIC
HIP60264,107498.0,5540.0,219.0,219.0,3.829,0.05,0.07,-0.223,0.2,0.36,EPIC
HIP60280,107534.0,,,,,,,,,,EPIC
HIP60418,107794.0,,,,,,,,,,EPIC
HIP60451,107857.0,5071.0,61.0,61.0,2.954,0.084,0.07,-0.958,0.12,0.18,EPIC
HIP60492,,6318.0,306.0,306.0,4.097,0.145,0.174,-0.003,0.12,0.21,EPIC
HIP60518,107955.0,4554.0,89.0,53.0,2.617,0.15,0.09,0.107,0.1,0.16,EPIC
HIP60641,108189.0,4942.0,59.0,79.0,3.295,0.09,0.075,0.056,0.1,0.18,EPIC
HIP60757,108385.0,4571.0,135.0,108.0,2.286,0.15,0.24,-0.085,0.16,0.48,EPIC
HIP61030,108850.0,4655.0,74.0,74.0,2.424,0.11,0.132,-0.082,0.15,0.18,EPIC
HIP61042,108879.0,4599.0,92.0,73.0,2.457,0.126,0.105,0.08,0.12,0.12,EPIC
HIP61096,108978.0,,,,,,,,,,EPIC
HIP61252,109218.0,4812.0,58.0,77.0,3.476,0.035,0.077,0.188,0.38,0.08,EPIC
HIP61349,109376.0,,,,,,,,,,EPIC
HIP61439,109523.0,6133.0,181.0,144.0,3.788,0.065,0.065,0.032,0.1,0.12,EPIC
HIP61491,109597.0,4468.0,72.0,90.0,2.354,0.105,0.189,0.097,0.15,0.21,EPIC
HIP61581,109757.0,4670.0,94.0,94.0,2.431,0.165,0.165,-0.112,0.15,0.27,EPIC
HIP62100,110644.0,6456.0,309.0,257.0,3.749,0.066,0.066,0.053,0.08,0.1,EPIC
HIP62103,110646.0,,,,,,,,,,EPIC
HIP62371,111096.0,6112.0,219.0,183.0,3.964,0.06,0.07,-0.007,0.12,0.18,EPIC
HIP62632,111528.0,6060.0,239.0,239.0,3.974,0.065,0.091,-0.029,0.18,0.21,EPIC
HIP62851,111944.0,4751.0,74.0,93.0,2.76,0.245,0.294,0.094,0.12,0.15,EPIC
HIP63938,113798.0,,,,,,,,,,EPIC
HIP63958,113816.0,,,,,,,,,,EPIC
HIP64335,114523.0,,,,,,,,,,EPIC
HIP64340,114544.0,,,,,,,,,,EPIC
HIP64346,114545.0,,,,,,,,,,EPIC
HIP64404,114661.0,5617.0,233.0,133.0,3.578,0.138,0.115,0.025,0.12,0.15,EPIC
HIP64467,114784.0,,,,,,,,,,EPIC
HIP64643,115079.0,4645.0,135.0,135.0,2.481,0.19,0.114,-0.026,0.16,0.24,EPIC
HIP64750,115277.0,4770.0,115.0,115.0,2.478,0.207,0.115,-0.069,0.15,0.3,EPIC
HIP64808,115368.0,4794.0,77.0,96.0,2.641,0.174,0.232,-0.011,0.15,0.27,EPIC
HIP64878,115541.0,5194.0,124.0,155.0,2.466,0.774,0.054,-0.832,0.6,0.3,EPIC
HIP64932,115631.0,,,,,,,,,,EPIC
HIP64968,115724.0,,,,,,,,,,EPIC
HIP65030,115812.0,,,,,,,,,,EPIC
HIP65074,115903.0,,,,,,,,,,EPIC
HIP65093,115945.0,4668.0,110.0,138.0,2.66,0.18,0.15,-0.072,0.16,0.32,EPIC
HIP65107,115944.0,4694.0,144.0,144.0,2.44,0.275,0.15,-0.11,0.2,0.36,EPIC
HIP65163,116045.0,,,,,,,,,,EPIC
HIP65261,116258.0,,,,,,,,,,EPIC
HIP65360,116444.0,,,,,,,,,,EPIC
HIP65399,116532.0,,,,,,,,,,EPIC
HIP65412,,4797.0,148.0,148.0,2.564,0.576,0.216,-0.196,0.25,0.35,EPIC
HIP65532,116768.0,4696.0,76.0,134.0,2.573,0.224,0.16,0.012,0.15,0.12,EPIC
HIP65552,116818.0,,,,,,,,,,EPIC
HIP65656,117031.0,4586.0,111.0,92.0,2.456,0.171,0.114,0.071,0.12,0.15,EPIC
HIP65772,117231.0,4846.0,115.0,115.0,2.633,0.19,0.266,-0.05,0.16,0.36,EPIC
HIP65920,117515.0,,,,,,,,,,EPIC
HIP65927,117516.0,,,,,,,,,,EPIC
HIP65934,117529.0,,,,,,,,,,EPIC
HIP65943,117557.0,,,,,,,,,,EPIC
HIP65991,117637.0,4705.0,141.0,141.0,2.479,0.252,0.108,-0.053,0.15,0.24,EPIC
HIP66000,117636.0,4711.0,143.0,114.0,2.499,0.22,0.11,-0.022,0.16,0.28,EPIC
HIP66039,117732.0,,,,,,,,,,EPIC
HIP66078,117780.0,6235.0,183.0,183.0,3.836,0.192,0.16,0.022,0.12,0.15,EPIC
HIP66097,117832.0,,,,,,,,,,EPIC
HIP66098,117818.0,,,,,,,,,,EPIC
HIP66137,117905.0,,,,,,,,,,EPIC
HIP66226,118037.0,,,,,,,,,,EPIC
HIP66231,118009.0,5857.0,171.0,171.0,3.995,0.12,0.14,0.101,0.15,0.18,EPIC
HIP66265,118101.0,,,,,,,,,,EPIC
HIP66280,118129.0,,,,,,,,,,EPIC
HIP66311,118207.0,6519.0,154.0,231.0,4.09,0.11,0.11,-0.017,0.15,0.24,EPIC
HIP66320,118219.0,,,,,,,,,,EPIC
HIP66343,118249.0,,,,,,,,,,EPIC
HIP66465,118511.0,4839.0,149.0,149.0,2.568,0.216,0.18,-0.067,0.15,0.36,EPIC
HIP66600,118777.0,4759.0,113.0,113.0,2.521,0.232,0.145,-0.055,0.15,0.27,EPIC
HIP66617,118796.0,4735.0,76.0,96.0,2.572,0.192,0.16,0.03,0.12,0.15,EPIC
HIP66646,118866.0,,,,,,,,,,EPIC
HIP66659,118891.0,,,,,,,,,,EPIC
HIP66686,118939.0,,,,,,,,,,EPIC
HIP66757,119026.0,5876.0,331.0,397.0,3.882,0.126,0.126,-0.049,0.16,0.24,EPIC
HIP66758,119009.0,,,,,,,,,,EPIC
HIP66776,119060.0,6031.0,237.0,237.0,3.974,0.115,0.138,-0.026,0.18,0.27,EPIC
HIP66834,,4715.0,141.0,141.0,2.454,0.286,0.132,-0.156,0.2,0.36,EPIC
HIP66844,119185.0,,,,,,,,,,EPIC
HIP66922,119373.0,,,,,,,,,,EPIC
HIP66927,119372.0,,,,,,,,,,EPIC
HIP67072,119668.0,6213.0,198.0,247.0,3.72,0.085,0.102,0.052,0.12,0.12,EPIC
HIP67274,120024.0,4692.0,115.0,115.0,2.468,0.225,0.125,-0.019,0.15,0.18,EPIC
HIP67339,120203.0,,,,,,,,,,EPIC
HIP67369,120249.0,5267.0,331.0,276.0,3.475,0.18,0.18,-0.049,0.12,0.36,EPIC
HIP67403,120284.0,4407.0,106.0,106.0,0.419,1.854,0.515,-2.17,2.24,0.4,EPIC
HIP67494,120452.0,,,,,,,,,,EPIC
HIP67718,120880.0,4699.0,143.0,114.0,2.48,0.24,0.144,-0.07,0.2,0.32,EPIC
HIP67763,120969.0,,,,,,,,,,EPIC
HIP67855,121166.0,,,,,,,,,,EPIC
HIP67931,121284.0,,,,,,,,,,EPIC
HIP67999,121422.0,,,,,,,,,,EPIC
HIP68063,121548.0,4239.0,86.0,69.0,1.933,0.205,0.246,0.1,0.1,0.18,EPIC
HIP68267,121883.0,,,,,,,,,,EPIC
HIP68291,121926.0,,,,,,,,,,EPIC
HIP68371,122084.0,4764.0,115.0,115.0,2.56,0.252,0.18,-0.03,0.16,0.24,EPIC
HIP68398,122135.0,4783.0,76.0,47.0,3.031,0.264,0.165,-0.096,0.15,0.15,EPIC
HIP68425,122171.0,,,,,,,,,,EPIC
HIP68453,122242.0,,,,,,,,,,EPIC
HIP68535,122409.0,6370.0,259.0,259.0,3.951,0.132,0.11,-0.004,0.12,0.12,EPIC
HIP68709,122771.0,,,,,,,,,,EPIC
HIP68748,122835.0,,,,,,,,,,EPIC
HIP68763,122837.0,4800.0,57.0,77.0,2.865,0.05,0.16,0.033,0.08,0.22,EPIC
HIP68993,123380.0,4768.0,144.0,115.0,2.51,0.25,0.15,-0.088,0.16,0.32,EPIC
HIP73927,133670.0,,,,,,,,,,EPIC
HIP73928,133709.0,,,,,,,,,,EPIC
HIP74111,134136.0,4651.0,118.0,118.0,2.491,0.2,0.12,-0.002,0.12,0.21,EPIC
HIP74291,134537.0,6887.0,350.0,350.0,4.18,0.065,0.117,0.02,0.1,0.12,EPIC
HIP74412,134812.0,4815.0,75.0,94.0,2.727,0.115,0.299,-0.18,0.25,0.3,EPIC
HIP74669,135424.0,,,,,,,,,,EPIC
HIP74851,135842.0,,,,,,,,,,EPIC
HIP74892,135909.0,,,,,,,,,,EPIC
HIP75092,136295.0,4864.0,77.0,58.0,3.324,0.252,0.112,-0.039,0.12,0.15,EPIC
HIP75254,136699.0,4828.0,142.0,142.0,3.028,0.335,0.469,-0.122,0.2,0.28,EPIC
HIP75288,136703.0,4686.0,73.0,55.0,2.522,0.132,0.11,-0.005,0.1,0.14,EPIC
HIP75291,136778.0,4902.0,101.0,80.0,2.826,0.295,0.295,-0.113,0.15,0.39,EPIC
HIP75368,136981.0,,,,,,,,,,EPIC
HIP75376,136958.0,4896.0,117.0,98.0,2.986,0.372,0.372,-0.122,0.2,0.4,EPIC
HIP75462,137115.0,4604.0,55.0,92.0,2.773,0.17,0.204,0.18,0.12,0.12,EPIC
HIP75504,137210.0,4744.0,116.0,116.0,2.438,0.108,0.126,-0.028,0.12,0.12,EPIC
HIP75598,137431.0,4705.0,139.0,111.0,2.501,0.225,0.15,-0.062,0.16,0.24,EPIC
HIP75601,,,,,,,,,,,EPIC
HIP75879,138042.0,,,,,,,,,,EPIC
HIP75927,138065.0,,,,,,,,,,EPIC
HIP75948,138123.0,6163.0,246.0,296.0,3.998,0.085,0.085,-0.026,0.12,0.15,EPIC
HIP76085,138411.0,6417.0,271.0,194.0,3.827,0.258,0.215,0.024,0.12,0.15,EPIC
HIP76104,138414.0,4756.0,77.0,96.0,2.711,0.132,0.22,0.104,0.1,0.12,EPIC
HIP76201,138600.0,5232.0,128.0,224.0,3.644,0.042,0.049,0.014,0.12,0.15,EPIC
HIP76268,138739.0,4839.0,144.0,86.0,2.143,0.27,0.675,-1.209,0.55,0.66,EPIC
HIP76323,138904.0,6427.0,260.0,208.0,3.731,0.15,0.15,0.046,0.1,0.1,EPIC
HIP76335,138888.0,4704.0,143.0,143.0,2.478,0.243,0.135,-0.048,0.15,0.27,EPIC
HIP76480,139183.0,4988.0,259.0,99.0,2.767,0.37,0.37,-0.184,0.3,0.78,EPIC
HIP76505,139220.0,6498.0,198.0,198.0,3.986,0.22,0.264,-0.001,0.12,0.12,EPIC
HIP76532,139254.0,,,,,,,,,,EPIC
HIP76569,139329.0,,,,,,,,,,EPIC
HIP76576,139346.0,4702.0,138.0,138.0,2.486,0.184,0.138,-0.022,0.15,0.21,EPIC
HIP76605,139409.0,4866.0,77.0,77.0,2.679,0.135,0.297,-0.112,0.12,0.3,EPIC
HIP76611,139383.0,6483.0,195.0,292.0,3.605,0.07,0.07,0.04,0.1,0.1,EPIC
HIP76631,139463.0,6503.0,325.0,216.0,4.129,0.125,0.175,0.019,0.12,0.15,EPIC
HIP76946,,5979.0,234.0,281.0,4.007,0.294,0.245,-0.092,0.2,0.32,EPIC
HIP76983,140270.0,4846.0,96.0,115.0,2.7,0.14,0.28,-0.022,0.15,0.36,EPIC
HIP77007,140301.0,4753.0,77.0,77.0,2.857,0.27,0.15,-0.103,0.15,0.15,EPIC
HIP77036,140371.0,4842.0,150.0,150.0,2.57,0.266,0.19,-0.124,0.2,0.52,EPIC
HIP77225,140779.0,5631.0,750.0,469.0,3.439,0.336,1.008,-0.056,0.16,1.0,EPIC
HIP77250,140836.0,,,,,,,,,,EPIC
HIP77297,140919.0,4812.0,97.0,97.0,2.677,0.11,0.242,0.047,0.12,0.21,EPIC
HIP77405,141092.0,6175.0,248.0,248.0,3.901,0.145,0.174,0.034,0.1,0.16,EPIC
HIP77601,141574.0,6249.0,352.0,252.0,4.02,0.215,0.258,0.007,0.12,0.18,EPIC
HIP77609,141660.0,6276.0,317.0,198.0,3.756,0.095,0.114,0.039,0.1,0.1,EPIC
HIP77611,141555.0,4923.0,153.0,122.0,2.734,0.13,0.312,-0.09,0.15,0.54,EPIC
HIP77948,142380.0,7537.0,75.0,75.0,3.963,0.02,0.02,-0.063,0.05,0.05,EPIC
HIP78031,142523.0,,,,,,,,,,EPIC
HIP78082,142686.0,,,,,,,,,,EPIC
HIP78462,143460.0,,,,,,,,,,EPIC
HIP78543,143590.0,6442.0,382.0,318.0,3.896,0.18,0.18,0.013,0.12,0.12,EPIC
HIP78622,,,,,,,,,,,EPIC
HIP78681,143899.0,,,,,,,,,,EPIC
HIP78977,144548.0,5219.0,161.0,129.0,3.77,0.025,0.16,0.004,0.12,0.63,EPIC
HIP79015,144711.0,6448.0,478.0,298.0,3.867,0.19,0.19,0.007,0.1,0.12,EPIC
HIP79061,144805.0,4890.0,145.0,103.0,2.698,0.14,0.28,-0.047,0.16,0.48,EPIC
HIP79083,144822.0,6169.0,519.0,727.0,3.518,0.152,0.114,0.026,0.12,0.12,EPIC
HIP79146,144940.0,6216.0,468.0,260.0,3.921,0.21,0.21,0.007,0.12,0.15,EPIC
HIP79335,145390.0,,,,,,,,,,EPIC
HIP79341,,6397.0,515.0,368.0,3.95,0.14,0.14,0.033,0.1,0.14,EPIC
HIP79364,145428.0,4825.0,173.0,115.0,2.887,0.125,0.175,-0.155,0.24,0.72,EPIC
HIP79395,145553.0,6348.0,509.0,318.0,3.936,0.18,0.216,0.025,0.1,0.16,EPIC
HIP79397,145481.0,6403.0,316.0,316.0,3.657,0.16,0.1,0.072,0.1,0.08,EPIC
HIP79442,145571.0,6489.0,513.0,321.0,3.809,0.18,0.18,0.007,0.1,0.1,EPIC
HIP79462,145655.0,6079.0,497.0,995.0,3.637,0.246,0.492,0.009,0.12,0.24,EPIC
HIP79520,145736.0,6377.0,517.0,323.0,3.894,0.126,0.084,0.038,0.1,0.1,EPIC
HIP79560,145916.0,6415.0,374.0,374.0,4.06,0.145,0.145,-0.011,0.15,0.18,EPIC
HIP79605,145997.0,4894.0,77.0,96.0,3.234,0.2,0.1,-0.196,0.25,0.25,EPIC
HIP79643,146069.0,6684.0,479.0,479.0,3.953,0.216,0.216,0.012,0.12,0.12,EPIC
HIP79684,146156.0,5978.0,342.0,342.0,3.909,0.132,0.066,-0.067,0.15,0.24,EPIC
HIP79722,146237.0,,,,,,,,,,EPIC
HIP80027,146998.0,,,,,,,,,,EPIC
HIP80072,147136.0,,,,,,,,,,EPIC
HIP80123,147166.0,5359.0,130.0,163.0,2.481,0.913,0.066,-0.986,0.96,0.2,EPIC
HIP80196,147343.0,5660.0,438.0,134.0,3.125,0.66,0.66,-0.888,0.9,0.54,EPIC
HIP80343,147700.0,,,,,,,,,,EPIC
HIP80447,147930.0,6336.0,771.0,342.0,3.835,0.15,0.175,0.082,0.12,0.12,EPIC
HIP80462,147889.0,5987.0,247.0,445.0,3.688,0.124,0.217,0.023,0.09,0.18,EPIC
HIP80534,148087.0,6308.0,156.0,468.0,3.789,0.207,0.138,0.042,0.15,0.12,EPIC
HIP80535,148040.0,6336.0,465.0,387.0,4.005,0.168,0.112,-0.005,0.12,0.15,EPIC
HIP80736,148428.0,5931.0,233.0,279.0,3.925,0.091,0.078,-0.052,0.16,0.24,EPIC
HIP81004,148970.0,,,,,,,,,,EPIC
HIP81315,149618.0,6488.0,495.0,412.0,3.877,0.276,0.138,0.042,0.12,0.15,EPIC
HIP81514,150018.0,6181.0,303.0,303.0,3.743,0.125,0.15,0.007,0.1,0.08,EPIC
HIP81521,149960.0,6265.0,466.0,233.0,3.754,0.06,0.096,0.058,0.08,0.1,EPIC
HIP81527,149961.0,,,,,,,,,,EPIC
HIP81632,150259.0,,,,,,,,,,EPIC
HIP81688,150321.0,,,,,,,,,,EPIC
HIP81731,150367.0,,,,,,,,,,EPIC
HIP81910,150698.0,6082.0,247.0,198.0,3.995,0.055,0.066,-0.025,0.15,0.21,EPIC
HIP82128,151194.0,6424.0,412.0,343.0,4.059,0.16,0.192,-0.017,0.12,0.15,EPIC
HIP82149,151222.0,4826.0,78.0,97.0,2.704,0.156,0.312,-0.043,0.12,0.27,EPIC
HIP82564,152177.0,7165.0,71.0,1039.0,4.165,0.02,0.388,0.007,0.18,0.05,EPIC
HIP82583,152178.0,4897.0,59.0,79.0,2.415,0.15,0.125,-0.04,0.1,0.1,EPIC
HIP82760,152570.0,,,,,,,,,,EPIC
HIP82812,,,,,,,,,,,EPIC
HIP82818,,5296.0,269.0,224.0,2.523,0.296,0.04,-1.194,0.16,0.32,EPIC
HIP82878,152752.0,6360.0,192.0,230.0,3.763,0.225,0.125,0.044,0.09,0.12,EPIC
HIP82941,,,,,,,,,,,EPIC
HIP83005,152999.0,5641.0,305.0,135.0,3.817,0.4,0.16,0.043,0.12,0.06,EPIC
HIP83078,153100.0,,,,,,,,,,EPIC
HIP83246,153483.0,5979.0,296.0,356.0,4.036,0.216,0.18,-0.116,0.2,0.28,EPIC
HIP83296,153567.0,6529.0,348.0,193.0,4.015,0.168,0.168,0.028,0.15,0.18,EPIC
HIP83428,153874.0,5985.0,299.0,358.0,3.827,0.06,0.084,0.013,0.12,0.15,EPIC
HIP83482,154018.0,4780.0,96.0,115.0,2.531,0.186,0.155,0.001,0.15,0.24,EPIC
HIP83539,154148.0,5262.0,63.0,84.0,3.707,0.02,0.064,0.094,0.05,0.16,EPIC
HIP83679,,6048.0,182.0,364.0,3.851,0.096,0.072,0.039,0.12,0.27,EPIC
HIP83806,154603.0,,,,,,,,,,EPIC
HIP83809,154626.0,5706.0,317.0,181.0,4.278,0.192,0.512,0.018,0.12,0.21,EPIC
HIP83854,154779.0,,,,,,,,,,EPIC
HIP83976,155048.0,4893.0,208.0,364.0,2.1,0.09,1.764,-0.025,0.15,0.12,EPIC
HIP83978,155063.0,5889.0,277.0,277.0,3.871,0.208,0.13,-0.081,0.18,0.27,EPIC
HIP84056,155233.0,4991.0,224.0,81.0,2.931,0.405,0.075,-0.686,0.63,0.35,EPIC
HIP84101,155309.0,,,,,,,,,,EPIC
HIP84144,155363.0,4837.0,138.0,78.0,2.641,0.17,0.204,-0.066,0.08,0.44,EPIC
HIP84270,155629.0,,,,,,,,,,EPIC
HIP84407,155867.0,5857.0,295.0,414.0,3.849,0.08,0.08,-0.056,0.16,0.24,EPIC
HIP84467,,6117.0,252.0,180.0,3.974,0.225,0.27,-0.06,0.15,0.33,EPIC
HIP84501,156039.0,6332.0,232.0,193.0,3.879,0.12,0.144,0.076,0.08,0.18,EPIC
HIP84526,156169.0,4761.0,141.0,141.0,2.595,0.286,0.156,-0.081,0.12,0.33,EPIC
HIP84576,156184.0,5158.0,211.0,169.0,2.491,0.64,0.06,-0.833,0.65,0.25,EPIC
HIP84636,156365.0,,,,,,,,,,EPIC
HIP84851,156780.0,4429.0,829.0,592.0,0.696,1.89,0.42,0.066,0.24,0.32,EPIC
HIP84856,156846.0,6462.0,377.0,314.0,4.067,0.066,0.099,0.045,0.09,0.15,EPIC
HIP84933,156933.0,6130.0,257.0,184.0,3.787,0.16,0.1,0.088,0.06,0.16,EPIC
HIP85023,157202.0,4651.0,74.0,93.0,2.468,0.126,0.09,0.036,0.1,0.16,EPIC
HIP85132,157336.0,4981.0,81.0,81.0,3.398,0.054,0.108,-0.236,0.15,0.27,EPIC
HIP85154,157398.0,,,,,,,,,,EPIC
HIP85207,157527.0,,,,,,,,,,EPIC
HIP85242,157588.0,,,,,,,,,,EPIC
HIP85320,157719.0,4922.0,246.0,154.0,3.146,0.285,0.342,-0.157,0.25,0.4,EPIC
HIP85624,158356.0,6161.0,221.0,258.0,3.931,0.126,0.147,0.003,0.15,0.21,EPIC
HIP85689,158542.0,6631.0,323.0,202.0,3.833,0.1,0.12,0.035,0.08,0.08,EPIC
HIP85712,158514.0,6992.0,69.0,647.0,3.656,0.072,0.02,0.178,0.05,0.12,EPIC
HIP85719,158595.0,6437.0,257.0,257.0,3.637,0.162,0.27,0.114,0.06,0.12,EPIC
HIP85770,315939.0,6712.0,8779.0,787.0,3.663,0.13,0.182,0.176,0.1,0.1,EPIC
HIP85804,158758.0,6335.0,306.0,306.0,4.03,0.13,0.156,0.034,0.12,0.18,EPIC
HIP85875,159011.0,4896.0,80.0,100.0,2.711,0.175,0.28,-0.089,0.12,0.3,EPIC
HIP85899,158980.0,6395.0,248.0,248.0,3.622,0.055,0.088,0.074,0.12,0.08,EPIC
HIP85928,315982.0,,,,,,,,,,EPIC
HIP86208,159743.0,,,,,,,,,,EPIC
HIP86265,,,,,,,,,,,EPIC
HIP86404,160108.0,,,,,,,,,,EPIC
HIP86495,160428.0,,,,,,,,,,EPIC
HIP86603,160640.0,,,,,,,,,,EPIC
HIP86705,,,,,,,,,,,EPIC
HIP86837,161155.0,,,,,,,,,,EPIC
HIP86866,161136.0,4993.0,179.0,119.0,3.589,0.08,0.704,-0.169,0.25,0.55,EPIC
HIP87273,162030.0,,,,,,,,,,EPIC
HIP87411,162435.0,,,,,,,,,,EPIC
HIP87422,162389.0,,,,,,,,,,EPIC
HIP87546,162675.0,,,,,,,,,,EPIC
HIP87661,162871.0,,,,,,,,,,EPIC
HIP87714,163061.0,,,,,,,,,,EPIC
HIP87894,163513.0,,,,,,,,,,EPIC
HIP87903,163452.0,,,,,,,,,,EPIC
HIP87967,312386.0,,,,,,,,,,EPIC
HIP88073,163891.0,,,,,,,,,,EPIC
HIP88142,164031.0,,,,,,,,,,EPIC
HIP88145,164104.0,,,,,,,,,,EPIC
HIP88558,165098.0,,,,,,,,,,EPIC
HIP88683,165269.0,,,,,,,,,,EPIC
HIP88798,165530.0,,,,,,,,,,EPIC
HIP88806,165673.0,,,,,,,,,,EPIC
HIP88906,165787.0,,,,,,,,,,EPIC
HIP89029,166167.0,,,,,,,,,,EPIC
HIP89567,167570.0,,,,,,,,,,EPIC
HIP89741,168053.0,,,,,,,,,,EPIC
HIP89893,168451.0,,,,,,,,,,EPIC
HIP90513,169966.0,,,,,,,,,,EPIC
HIP91993,173178.0,,,,,,,,,,EPIC
HIP92086,173378.0,,,,,,,,,,EPIC
HIP92166,,,,,,,,,,,EPIC
HIP92314,173918.0,,,,,,,,,,EPIC
HIP92356,173966.0,,,,,,,,,,EPIC
HIP92399,174134.0,,,,,,,,,,EPIC
HIP92576,174521.0,,,,,,,,,,EPIC
HIP92635,174630.0,4903.0,116.0,145.0,3.057,0.366,0.305,-0.294,0.3,0.3,EPIC
HIP92664,174709.0,,,,,,,,,,EPIC
